Product,Model,Question, Answer ,,,,,,,,,,,,,,,,,,,
BCAA,BCAA타우린7000+,bcaa 복용 방법 문의,"익스트림 BCAA 제품은 운동 중 혹은 운동 후, 동봉 되어 있는 스쿱으로 1스쿱(10g)을 300~400ml의 물과 함께 희석시켜 섭취하시는 방법으로 간편하게 섭취가 가능합니다.
고강도의 운동을 하고 계신다면 운동 컨디션 향상에 도움을 줄 수 있습니다 .",,,,,,,,,,,,,,,,,,,
BCAA,BCAA타우린7000+,1스쿱당 함유량 문의,"1회 복용 기준 BCAA 6000mg, 타우린 1000mg 함유되어 있으며 개인의 체질과 몸의 컨디션에 따라 몸의 흡수는 차이가 있을 수 있습니다.",,,,,,,,,,,,,,,,,,,
BCAA,BCAA타우린7000+,OPTIMA BCAA 타우린 7000+ 노란색 덩어리짐 발생,"BCAA 제품 원료 중 '사과산'이 보관시에 다른원료와 혼합되어 덩어리가 지면서 분말이 굳는 현상으로 보입니다. 
습한 환경에 노출될 시 해당 현상이 발생될 수 있으며 제품의 품질에는 이상이 없는것으로 판단됩니다. 가급적 직사광선을 피해 서늘한 곳에 보관하여 주시길 권장 드립니다 :)",,,,,,,,,,,,,,,,,,,
스쿱 리뉴얼,OPTIMA BCAA 타우린,스푼 리뉴얼 후 스푼크기로 인한 섭취량 변경있는지,"*스푼크기변동 
- 바이오셀 : 1스쿱을 듬뿍 퍼야함. 
- 콜마 : 1스쿱을 평평하게 퍼야함",,,,,,,,,,,,,,,,,,,
효소,골드 카무트 브랜드 밀 효소,섭취량 문의,과식한 경우 최대 2포까지는 섭취 해도 괜찮습니다.,,,,,,,,,,,,,,,,,,,
효소,골드 카무트 브랜드 밀 효소,섭취 가능 연령 문의,"네, 초등학생부터 복용가능하며, 설사 등 위장장애가 있다면 용량을 줄이고, 위장장애 없다면 1포 섭취 안내부탁드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,음주 후 복용,"음주 전후로 복용하셔도 괜찮으시지만, 음주를 하지 않고 복용하시는 편이 가장 효과가 좋습니다. 둘 중에는 음주 후 자기 전 복용을 권장드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,환자 섭취,"익스트림 밀크씨슬은 간기능 개선 효과가 있습니다. 하지만 의약품을 복용중이시라면, 고객님의 안전과 건강을 위해 고객님의 몸컨디션을 잘 알고 계시는 전문의사분과의 상담 후 섭취를 권장드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,800 VS 플러스,"익스트림 밀크씨슬 800과 밀크씨슬 플러스는 함량의 차이가 있습니다.

익스트림 밀크씨슬 플러스는 국내 건강기능식품 규격에 맞추어진 제품입니다. (1일 밀크씨슬 260mg, 실리마린 130mg) 
국내 식품법상 건강기능식품으로 등재된 밀크씨슬의 1 일 실리마린 함유량은 130mg 을 넘지 못하도록 되어있습니다. 
그리고 비타민B군 3종이 1일영양성분기준치 100% 만족하는 함량 함유되어 있습니다.

WHO에서 제시하는 실리마린  1일 권장섭취량은 250-400mg으로, 고함량 제품을 원하시는 분들을 위해 실리마린 400mg을 섭취할 수 있도록 설계된 제품입니다. 
강황 및 아티초크가 추가되어 삼중배합이 되어있는 제품입니다.익스트림의 제품들은 고함량이 큰 장점입니다.
하지만 사람 개개인의 체질에 따라 고함량이 부담스러우신 분들도 있기 때문에 익스트림 밀크씨슬 플러스는 함량을 낮춰 섭취량을 조절할 수 있도록 발매된 제품입니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,"800, 플러스 혼용","두 제품을 같이 복용하기 보다는 원하시는 함량에 따라 선택해서 복용하시는 걸 권장드립니다. 
익스트림 밀크씨슬은 고함량의 밀크씨슬을 찾는분들을 위한 제품으로 밀크씨슬 800mg(실리마린 400mg)이 함유되어 있습니다. 보통 밀크씨슬 고함량 제품은 해외 직구로 많이들 구매하십니다. 
익스트림 밀크씨슬 플러스는 고함량의 밀크씨슬 섭취가 부담스러우신 분들을 위해 국내 식약처 1일 최대섭취량(실리마린 130mg)에 맞춰 발매된 제품입니다.
밀크씨슬을 처음 복용 하신다면 밀크씨슬 플러스부터 복용해 보시는 걸 추천드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,저녁섭취 권장 이유,"익스트림 밀크씨슬 제품의 경우 정기적으로 편리하게 복용 하시기 위해 저녁식후로 섭취루틴을 권장드리고 있으며,고객님께서 편하신 시간대를 지정 해 두시고 꾸준하게 복용하는 것이 제일 좋습니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,식품유형 문의,"익스트림 밀크씨슬 800 제품은 WHO에서 제시하는 실리마린  1일 권장섭취량(250-400mg)을 참고하여 고함량을 섭취할 수 있도록 400mg의 실리마린을 함유하였으며
강황 및 아티초크가 추가되어 삼중배합이 되어 있는 제품입니다.
일정 성분의 당을 함유하고 있어 본 제품은 당류가공품으로 제조되어 밀크씨슬 및 주요 성분들을 제외한 원료들은 최소한으로 함유하여 본질에 집중하였습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,탈모 부작용 여부,"블랙마카의 성분을 직접적으로 살펴보면 큰 연관성은 없습니다.
탈모와 연관이 있다고 알려진 DHT성분은 남성 호르몬인 테스토스테론이 간에서 대사 나온 부산물인데요,
블랙마카를 섭취하시면서 근력 운동을 같이 하시면 남성호르몬 수치를 높일 수 있어 이 경우 연관이 있다고 보는 경우는 있습니다!
하지만 블랙마카가 탈모에 직접 유발한다는 근거는 알려진 바 없습니다.
개인의 체질이나 건강 상태에 따라 차이가 있을 수 있으므로, 탈모가 걱정되신다면 피부과 전문의 상담을 추천드립니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,블랙마카의 비타민 함량,"익스트림 블랙마카의 비타민은 부원료로 소량 함유되어 있기 때문에 비타민 하루 권장량에는 부족한 수치이니, 다른 비타민 제품과 함께 복용하셔도 괜찮습니다!",,,,,,,,,,,,,,,,,,,
블랙마카,공통,블랙마카의 아르기닌 함량,"(제품에 따라 함유여부 다름/확인 필요)**블랙마카 활력환/2500에는 함유되어 있음**
L-아르기닌이 함유되어있는 제품이더라도 부원료로 소량 함유되어 있기 때문에 충분한 아르기닌 섭취를 위해서는 익스트림 트리플 아르기닌 제품을 추천 드립니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,식품 유형 문의(과채가공품),"국내 식품법상 마카는 대부분 과채가공품으로 제조됩니다. 
익스트림 블랙마카 제품은 식약처에서 허용한 49.9% 블랙마카 함유량을 배합하였습니다. 
본 제품은 과채가공품으로 제조되어 마카 및 주요 성분들을 제외한 원료들은 최소한으로 함유하여 본질에 집중하였습니다.
더불어 익스트림 블랙마카 제품은 HACCP 및 GMP 인증을 받은 제조사에서 만든 제품이니 안심하고 드셔도 됩니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,블랙마카 정제 색상 문의,"블랙마카는 고산지대인 안데스 산맥의 페루 지역에서 자라는 식물의 뿌리로 만들어진 제품으로 색소,첨가물 없이 제조되어 원물 고유의 색상에 따라 정제의 색이 연하거나 조금 더 진할 수 있습니다.
작물의 특성으로 인한 자연스러운 현상이니 안심하고 섭취하셔도 괜찮습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,남성 호로몬 증가,"""마카의 생리활성,2009""의 논문을 보시면 원료로써 정약의 양, 정자수, 정자의 움직임이 유의적으로 증가했다는 결과가 있어 상관 관계가 있는 것으로 보고 있습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,"블랙마카 제품 섭취 후 식욕이 억제되는 느낌을 받았는데 
관련된 성분이 있는지 문의",식욕억제 관련된 직접적인 성분이 있는것은 아니지만 블랙 마카 원료의 혈당 조절 / 호르몬 조절 / 신진대사 활성화 등으로 인해 간접적으로 식욕이 조절에 도움 될 수 있는 점 참고 부탁드립니다.,,,,,,,,,,,,,,,,,,,
아르기닌,공통,아르기닌 복용 후 복통 및 설사 증상이 있어요,"아르기닌의 경우 아미노산 흡수 우선 순위가 낮아 흡수율을 높히기 위해 고함량으로 섭취 해 주시는 것을 추천 해 드립니다만,
개인의 컨디션과 체질에 따라 몸의 몸의 반응은 다를 수 있어서 복용 후 설사 증상이 있으실 경우에는
섭취량을 조절해서 반포만 섭취하시거나 또는 물에 희석하여 섭취하시는 것을 권장 해 드립니다.
고함량 아르기닌 제품이기 때문에 조절 후 복용량을 늘려 가시는 것이 좋을 것 같습니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,어떤 효과가 있나요? or 언제 효과가 나타나나요,"아르기닌은 타 아미노산과의 흡수 경쟁에서 밀리기 때문에 고함량 아르기닌 제품으로 충분한 섭취를 권장 드립니다.
익스트림 아르기닌 제품은 고함량의 아르기닌이 함유 되어 있어 운동 전으로 섭취 하시게 되면 도움이 될 수 있습니다.
또한, 카르니틴, 오르니틴, 시트룰린, 아스파트산까지 배합하여 5종의 회로 아미노산이 순환하며, 아르기닌의 흡수, 활력의 극대화를 도와줄 수 있습니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,L- 아르지닌이 아르기닌인가요?,네 맞습니다. L-아르기닌과 L-아르지닌은 같은 말입니다.,,,,,,,,,,,,,,,,,,,
아르기닌,공통,헤르페스가 있는데 섭취해도 괜찮을까요?,"아르기닌은 헤르페스 보균자의 포진 등에 영향을 미칠 수 있어 헤르페스가 있으시다면, 보다 안전한 복용을 위헤 섭취전 전문의사분과의 충분한 상담을 권장 해 드립니다.
섭취 시 몸의 반응은 개인의 차가 있을 수 있어, 고객님의 몸 컨디션을 잘 알고 계시는 전문 의사분과의 충분한 상담 후 복용을 해 주시길 바랍니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,휴지기 문의,"아르기닌 제품은 별도의 휴지기가 없습니다.따라서 꾸준한 섭취가 가능하시고, 공복에 흡수율이 좋습니다.
단, 공복 섭취 후 속이 쓰리거나 몸에 무리를 느끼신다면 식후 섭취로 바꾸어 주시는 편이 좋습니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,"청소년, 학생도 섭취 가능여부 문의","익스트림 트리플 아르기닌 제품은 중,고등학생도 섭취 가능하나 고함량 제품으로 청소년기 이후 섭취를 추천드리고 있습니다. 
고함량 제품으로 처음 복용 하신다면, 섭취량을 반포로 물과 희석하여 먼저 섭취 해 보시고, 이후 섭취량을 점차 늘려가시는 것을 추천 해 드립니다.
(해당 제품 고함량으로 청소년기 이후 복용 가능 안내 ) 

*듀얼아르기닌의 경우 정제 사이즈가 커서, 정제 크기를 삼킬 수 있는 연령대 부터 복용 가능",,,,,,,,,,,,,,,,,,,
